date,driver_id,distance_km,drive_seconds,litres,co2_kg,n_legs,n_stop_legs,drive_hours,stops,low_speed_share_leg_t18,low_speed_share_time_t18,service_minutes,worked_hours,worked_hours_median_driver,_T_cong,_D_stops,_V_shift,S_DOBI,service_minutes_assumed,litres_lit,distance_km_dist,fuel_cost_vnd,maint_cost_vnd,labour_other_cost_vnd,total_cost_vnd,cost_per_km_vnd,cost_per_stop_vnd,co2_g_per_km,fuel_L_per_100km,on_frontier
2025-03-03,D-01,95.879,18456.0,7.190925,16.61103675,34,34,5.126666666666667,34,0.4705882352941176,0.4815236237537928,10.0,12.293333333333331,12.539583333333333,0.5013480716210393,0.4205095317582836,0.118927745271465,0.3623704117573403,10.0,7.190925,95.879,179347.43212686025,39473.93610944238,3626923.076923077,3845744.4451593794,40110.39377923611,113110.13073998176,173.24999999999997,7.5,True
2025-03-03,D-04,117.251,19438.0,12.89761,34.5655948,30,30,5.399444444444445,30,0.4,0.3574441815001543,10.0,11.899444444444445,11.8325,0.3421238417419186,0.3373810334465433,0.0310926656687983,0.2473916464313699,10.0,12.89761,117.251,321676.72922102705,48272.91151105277,3626923.076923077,3996872.7176551567,34088.175944385606,133229.09058850523,294.79999999999995,11.0,True
2025-03-06,D-02,112.316,19147.0,11.2316,30.100688000000005,29,29,5.318611111111111,29,0.4137931034482758,0.3818352744555283,10.0,11.651944444444444,12.15236111111111,0.3734235713441088,0.3264135626883204,0.2434344808817521,0.3203238416086653,10.0,11.2316,112.316,280125.1047224166,46241.14360879995,3626923.076923077,3953289.3252542936,35197.917707666704,136320.32156049288,268.00000000000006,10.0,True
2025-03-07,D-02,104.867,18799.0,10.4867,28.104356000000003,33,33,5.2219444444444445,33,0.3333333333333333,0.2965051332517687,10.0,12.221944444444444,12.15236111111111,0.2639241589364355,0.3981929078160203,0.0323853585521838,0.2347431434850354,10.0,10.4867,104.867,261546.70177824763,43174.3474378007,3626923.076923077,3931644.126139125,37491.71928384645,119140.731095125,268.0,10.0,True
2025-03-07,D-04,148.177,21560.0,16.29947,43.6825796,23,23,5.988888888888889,23,0.0869565217391304,0.1676716141001855,10.0,11.322222222222225,11.8325,0.0985992872498346,0.1709467655095395,0.2482650700775607,0.1652032655760639,10.0,16.29947,148.177,406521.8437862715,61005.323698503766,3626923.076923077,4094450.244407852,27632.15778702398,178019.57584381965,294.80000000000007,11.0,True
2025-03-10,D-04,113.283,18572.0,12.46113,33.3958284,31,31,5.158888888888889,31,0.1290322580645161,0.090835666594874,10.0,11.825555555555557,11.8325,0.0,0.3714735677128627,0.0017009116886647,0.1119523438204582,10.0,12.46113,113.283,310790.56823690725,46639.26307414513,3626923.076923077,3984352.908234129,35171.67543439112,128527.51316884288,294.8,11.0,True
2025-03-12,D-03,175.473,20931.0,17.547300000000003,47.02676400000001,15,15,5.814166666666667,15,0.6666666666666666,0.3230137117194592,10.0,9.814166666666669,11.859027777777778,0.2979411396307898,0.0,1.0,0.4191764558523159,10.0,17.547300000000003,175.473,437643.7239659231,72243.24399432809,3626923.076923077,4136810.044883328,23575.19416026014,275787.3363255552,268.00000000000006,10.0,True
2025-03-14,D-03,111.87,20604.0,11.187,29.981160000000003,31,31,5.723333333333334,31,0.4193548387096774,0.3942438361483207,10.0,12.39,11.859027777777778,0.3893467866935435,0.3308869843252033,0.2584025037420058,0.3325255610975802,10.0,11.187,111.87,279012.7449810957,46057.52284194994,3626923.076923077,3951993.3447461226,35326.65902159759,127483.656282133,268.0,10.0,True
2025-03-18,D-03,131.263,21100.0,13.1263,35.178484000000005,25,25,5.861111111111111,25,0.56,0.608957345971564,10.0,11.527777777777777,11.859027777777778,0.6648766619517187,0.2175989945725653,0.1605660634099877,0.3794001821754534,10.0,13.1263,131.263,327380.4410874548,54041.73255388286,3626923.076923077,4008345.250564415,30536.74874537695,160333.8100225766,268.0,10.0,True
2025-03-20,D-01,109.101,22232.0,8.182575,18.90174825,33,33,6.175555555555556,33,0.5454545454545454,0.5564051817200432,10.0,13.175555555555556,12.539583333333333,0.5974393997473577,0.3317775591889562,0.3098380732072386,0.4314604496178015,10.0,8.182575,109.101,204079.97781028776,44917.50960560991,3626923.076923077,3875920.564338975,35525.98568609797,117452.13831330226,173.25,7.5,True
2025-03-24,D-02,110.382,20825.0,11.038200000000002,29.582376000000004,32,32,5.784722222222222,32,0.40625,0.3654741896758703,10.0,12.618055555555555,12.15236111111111,0.35242830350028,0.3424524472917651,0.2264253639951012,0.3116346647861719,10.0,11.038200000000002,110.382,275301.55373650946,45444.90467810958,3626923.076923077,3947669.535337696,35763.707265112935,123364.672979303,268.0,10.0,True
2025-03-28,D-01,107.995,19326.0,8.099625,18.71013375,31,31,5.368333333333333,31,0.2903225806451613,0.2497671530580565,10.0,12.035,12.539583333333333,0.2039479149488365,0.3559691540276091,0.2454755749081501,0.2620125846602624,10.0,8.099625,107.995,202011.13833623912,44462.16304028233,3626923.076923077,3873396.378299599,35866.44176396684,124948.270267729,173.25,7.5,True
